crop,temperature,rainfall,humidity,soil_type,season,yield
Rice,29,1350,78,loamy,kharif,4.3
Rice,31,1700,84,clay,kharif,4.6
Rice,27,1080,71,silty,whole_year,3.9
Wheat,19,630,52,loamy,rabi,3.6
Wheat,16,510,46,clay,rabi,3.2
Wheat,22,780,60,silty,rabi,4.0
Maize,26,850,61,loamy,kharif,3.8
Maize,29,970,66,sandy,zaid,4.1
Maize,24,760,59,clay,kharif,3.6
Cotton,31,860,54,loamy,kharif,2.7
Cotton,33,960,58,sandy,kharif,2.9
Cotton,28,720,48,clay,whole_year,2.5
Sugarcane,30,1700,70,loamy,whole_year,5.7
Sugarcane,32,2000,73,silty,kharif,6.0
Sugarcane,28,1450,66,clay,whole_year,5.4
Soybean,26,880,58,loamy,kharif,2.9
Soybean,29,1040,64,clay,kharif,3.1
Soybean,24,770,55,silty,whole_year,2.8
Groundnut,29,820,52,sandy,kharif,2.3
Groundnut,31,940,56,loamy,rabi,2.6
Groundnut,27,730,49,clay,kharif,2.2
Millet,34,430,34,sandy,kharif,1.9
Millet,37,360,32,loamy,zaid,2.1
Millet,40,290,29,sandy,kharif,1.7
Potato,15,640,61,loamy,rabi,5.9
Potato,13,540,57,silty,rabi,5.6
Potato,11,470,52,clay,rabi,5.3
Tomato,23,610,55,loamy,rabi,7.5
Tomato,26,730,62,silty,zaid,7.9
Tomato,21,570,52,clay,whole_year,7.2
Banana,29,1550,72,loamy,whole_year,8.1
Banana,31,1950,76,silty,kharif,8.4
Banana,27,1320,65,clay,whole_year,7.8
Chickpea,17,430,35,loamy,rabi,1.9
Chickpea,15,380,32,chalky,rabi,1.7
Chickpea,19,510,39,sandy,rabi,2.2
Sunflower,25,630,41,loamy,kharif,2.4
Sunflower,28,710,46,sandy,rabi,2.6
Sunflower,22,570,38,silty,zaid,2.3
Barley,17,470,39,loamy,rabi,3.1
Barley,15,420,36,clay,rabi,2.9
Barley,19,540,43,sandy,rabi,3.2
Turmeric,27,1630,68,loamy,kharif,3.6
Turmeric,29,1950,73,clay,whole_year,4.0
Turmeric,25,1460,65,silty,kharif,3.4
Coconut,29,1950,73,loamy,whole_year,4.7
Coconut,31,2350,78,sandy,whole_year,5.0
Coconut,27,1720,67,loamy,whole_year,4.4
Lentil,17,450,41,loamy,rabi,1.7
Lentil,15,370,37,clay,rabi,1.6
Lentil,20,520,45,sandy,rabi,2.0
Mustard,16,440,39,loamy,rabi,1.9
Mustard,14,380,36,sandy,rabi,1.7
Mustard,19,510,43,clay,rabi,2.0
Onion,23,630,52,loamy,rabi,8.6
Onion,26,720,57,silty,kharif,9.1
Onion,21,570,49,clay,rabi,8.3
Garlic,17,480,44,loamy,rabi,5.4
Garlic,15,400,40,sandy,rabi,5.0
Garlic,20,560,49,clay,rabi,5.7
Mango,29,1380,67,loamy,whole_year,4.2
Mango,31,1680,71,sandy,kharif,4.6
Mango,27,1120,63,loamy,whole_year,3.9
Papaya,29,1380,70,loamy,whole_year,19.0
Papaya,31,1720,73,sandy,kharif,21.0
Papaya,27,1120,65,loamy,whole_year,17.5
Watermelon,31,520,43,sandy,zaid,14.5
Watermelon,34,600,46,loamy,kharif,16.0
Watermelon,29,540,43,sandy,zaid,14.2
Tea,21,1870,78,loamy,whole_year,2.3
Tea,24,2080,81,silty,kharif,2.5
Tea,19,1720,76,loamy,whole_year,2.1
Coffee,23,1620,73,loamy,whole_year,1.6
Coffee,25,1880,76,silty,kharif,1.8
Coffee,21,1420,70,loamy,whole_year,1.5
