crop,temperature,rainfall,humidity,soil_type,season,yield
Rice,28,1200,75,loamy,kharif,4.2
Rice,30,1500,80,clay,kharif,4.5
Rice,29,1100,72,silty,kharif,4.0
Rice,31,1800,85,loamy,kharif,4.7
Rice,27,1050,70,clay,kharif,3.9
Rice,32,2000,88,silty,whole_year,4.8
Rice,26,1000,68,loamy,kharif,3.8
Rice,30,1300,78,clay,whole_year,4.3
Rice,33,2100,90,loamy,kharif,5.0
Rice,28,1400,77,silty,kharif,4.4
Rice,31,1600,83,clay,whole_year,4.6
Rice,29,1250,76,loamy,kharif,4.1
Rice,27,1080,71,silty,kharif,3.9
Rice,32,1900,86,clay,kharif,4.9
Rice,26,980,67,loamy,whole_year,3.7
Rice,34,2300,92,silty,kharif,5.1
Wheat,18,600,50,loamy,rabi,3.5
Wheat,15,500,45,clay,rabi,3.2
Wheat,20,700,55,silty,rabi,3.8
Wheat,16,550,48,chalky,rabi,3.0
Wheat,19,650,52,loamy,rabi,3.6
Wheat,14,480,44,clay,rabi,3.1
Wheat,21,750,58,silty,rabi,3.9
Wheat,17,580,46,loamy,rabi,3.4
Wheat,12,440,40,chalky,rabi,2.8
Wheat,22,780,60,clay,rabi,4.0
Wheat,13,460,42,loamy,rabi,2.9
Wheat,20,720,56,silty,rabi,3.7
Wheat,16,530,47,chalky,rabi,3.1
Wheat,18,620,51,clay,rabi,3.5
Wheat,15,510,45,loamy,rabi,3.3
Wheat,21,760,59,silty,rabi,3.8
Maize,25,800,60,loamy,kharif,3.8
Maize,28,1000,65,sandy,kharif,4.0
Maize,30,1100,70,silty,kharif,4.2
Maize,24,750,58,loamy,zaid,3.6
Maize,27,900,63,sandy,kharif,3.9
Maize,32,1200,72,loamy,whole_year,4.4
Maize,26,850,62,silty,zaid,3.7
Maize,29,980,67,sandy,kharif,4.1
Maize,23,720,57,loamy,kharif,3.5
Maize,31,1050,68,silty,kharif,4.2
Maize,24,780,59,sandy,zaid,3.7
Maize,28,930,64,loamy,whole_year,4.0
Maize,26,870,61,silty,kharif,3.8
Maize,33,1250,74,sandy,kharif,4.5
Maize,22,700,55,loamy,zaid,3.4
