crop,temperature,rainfall,humidity,soil_type,season,yield
Lentil,18,450,42,loamy,rabi,1.8
Lentil,15,380,38,clay,rabi,1.6
Lentil,20,520,45,silty,rabi,2.0
Lentil,13,320,35,loamy,rabi,1.5
Lentil,22,580,48,sandy,rabi,1.9
Lentil,16,410,40,clay,rabi,1.7
Lentil,19,500,44,silty,rabi,1.9
Lentil,14,350,36,loamy,rabi,1.6
Lentil,21,550,47,sandy,rabi,1.9
Lentil,17,440,41,clay,rabi,1.7
Lentil,23,600,50,silty,rabi,2.1
Lentil,15,390,39,loamy,rabi,1.6
Lentil,20,510,44,sandy,rabi,1.9
Lentil,18,470,42,clay,rabi,1.8
Lentil,16,420,40,silty,rabi,1.7
Mustard,16,450,40,loamy,rabi,1.9
Mustard,14,380,36,sandy,rabi,1.7
Mustard,18,520,44,clay,rabi,2.1
Mustard,12,320,32,loamy,rabi,1.5
Mustard,20,580,48,sandy,rabi,2.2
Mustard,15,420,38,clay,rabi,1.8
Mustard,17,490,42,loamy,rabi,2.0
Mustard,13,350,34,sandy,rabi,1.6
Mustard,19,540,46,clay,rabi,2.1
Mustard,16,440,39,loamy,rabi,1.9
Mustard,21,600,50,sandy,rabi,2.3
Mustard,14,370,36,clay,rabi,1.7
Mustard,18,510,43,loamy,rabi,2.0
Mustard,15,400,37,sandy,rabi,1.8
Mustard,17,470,41,clay,rabi,1.9
Onion,22,600,52,loamy,rabi,8.5
Onion,25,700,56,silty,rabi,9.0
Onion,20,550,48,clay,kharif,8.2
Onion,28,800,60,loamy,whole_year,9.5
Onion,18,480,44,silty,rabi,7.9
Onion,24,660,54,clay,rabi,8.7
Onion,26,730,58,loamy,kharif,9.2
Onion,22,580,50,silty,rabi,8.5
Onion,30,880,64,clay,whole_year,9.8
Onion,20,520,46,loamy,kharif,8.1
Onion,27,760,59,silty,rabi,9.3
Onion,23,620,53,clay,kharif,8.6
Onion,25,690,57,loamy,rabi,9.0
Onion,21,570,49,silty,whole_year,8.4
Onion,29,840,62,clay,kharif,9.7
Garlic,18,500,46,loamy,rabi,5.5
Garlic,15,420,40,sandy,rabi,5.0
Garlic,20,580,50,clay,rabi,5.8
Garlic,13,360,36,loamy,rabi,4.8
Garlic,22,640,54,sandy,rabi,6.0
Garlic,16,460,42,clay,rabi,5.3
Garlic,19,540,48,loamy,rabi,5.6
Garlic,14,390,38,sandy,rabi,5.0
Garlic,21,610,52,clay,rabi,5.8
Garlic,17,490,45,loamy,rabi,5.5
Garlic,23,660,56,sandy,rabi,6.1
Garlic,15,430,40,clay,rabi,5.1
Garlic,20,560,49,loamy,rabi,5.7
Garlic,18,510,46,sandy,rabi,5.4
Garlic,16,470,43,clay,rabi,5.2
Mango,28,1200,65,loamy,whole_year,4.0
Mango,30,1500,70,sandy,kharif,4.4
Mango,32,1800,72,loamy,whole_year,4.7
