crop,temperature,rainfall,humidity,soil_type,season,yield
Rice,28,1200,75,loamy,kharif,4.2
Rice,30,1500,80,clay,kharif,4.5
Rice,29,1100,72,silty,kharif,4.0
Rice,31,1800,85,loamy,kharif,4.7
Rice,27,1050,70,clay,kharif,3.9
Rice,32,2000,88,silty,whole_year,4.8
Rice,26,1000,68,loamy,kharif,3.8
Rice,30,1300,78,clay,whole_year,4.3
Wheat,18,600,50,loamy,rabi,3.5
Wheat,15,500,45,clay,rabi,3.2
Wheat,20,700,55,silty,rabi,3.8
Wheat,16,550,48,chalky,rabi,3.0
Wheat,19,650,52,loamy,rabi,3.6
Wheat,14,480,44,clay,rabi,3.1
Wheat,21,750,58,silty,rabi,3.9
Wheat,17,580,46,loamy,rabi,3.4
Maize,25,800,60,loamy,kharif,3.8
Maize,28,1000,65,sandy,kharif,4.0
Maize,30,1100,70,silty,kharif,4.2
Maize,24,750,58,loamy,zaid,3.6
Maize,27,900,63,sandy,kharif,3.9
Maize,32,1200,72,loamy,whole_year,4.4
Maize,26,850,62,silty,zaid,3.7
Maize,29,980,67,sandy,kharif,4.1
Cotton,28,700,50,loamy,kharif,2.5
Cotton,32,900,55,clay,kharif,2.8
Cotton,30,800,48,sandy,kharif,2.6
Cotton,35,1000,60,loamy,whole_year,3.0
Cotton,27,650,45,clay,kharif,2.3
Cotton,33,950,57,sandy,kharif,2.9
Cotton,29,750,52,loamy,kharif,2.7
Cotton,31,850,53,clay,whole_year,2.8
Sugarcane,28,1500,65,loamy,whole_year,5.5
Sugarcane,30,2000,70,clay,kharif,6.0
Sugarcane,32,1800,72,silty,whole_year,5.8
Sugarcane,27,1300,62,loamy,kharif,5.2
Sugarcane,33,2200,75,clay,whole_year,6.2
Sugarcane,29,1600,68,silty,kharif,5.6
Sugarcane,31,1900,73,loamy,whole_year,6.0
Sugarcane,26,1200,60,clay,kharif,5.0
Soybean,25,800,55,loamy,kharif,2.8
Soybean,28,1000,60,clay,kharif,3.0
Soybean,22,700,52,silty,kharif,2.6
Soybean,30,1100,65,loamy,whole_year,3.2
Soybean,24,850,57,clay,kharif,2.9
